inter_id,source,target,interaction,tissue_dataset,tau_source,tau_target,inter_tau,pairs_type,network_type,metastasis_dataset,signal,value,stat,pval,pval_corr,cancer_entropy,metastasis_entropy,is_curated
2002,PTPN6,CD33,7443.0,gtex,0.607,0.708,0.708,frequency,genecalls,autopsy,1.0,8371.0,MWU_ratio,2.1486622189615146e-07,1.1363061285854976e-05,2.5733009703333543,2.062874285111209,yes
2004,LGALS3BP,CD33,6118.0,gtex,0.214,0.708,0.708,frequency,genecalls,autopsy,1.0,8371.0,MWU_ratio,2.1486622189615146e-07,1.1363061285854976e-05,2.5733009703333543,2.062874285111209,yes
2005,LILRB2,CD33,6173.0,gtex,0.756,0.708,0.756,frequency,genecalls,autopsy,1.0,6034.0,MWU_ratio,3.688052375530936e-05,0.0007986328458879,2.5432606923036194,1.81720560508057,yes
2011,SIGLEC14,CD33,8117.0,gtex,0.812,0.708,0.812,frequency,genecalls,autopsy,1.0,2769.0,MWU_ratio,0.0080526020720344,0.0373960146403795,1.8937882323911377,1.715728663502594,yes
2075,FGF14,MET,3832.0,gtex,0.778,0.496,0.778,frequency,genecalls,autopsy,1.0,5753.0,MWU_ratio,0.0001292936149641,0.0021569282462036,2.4562011832764648,2.0035336367883376,no
2075,FGF14,MET,3832.0,gtex,0.778,0.496,0.778,frequency,genecalls,hcmdb,1.0,2314.0,MWU_ratio,0.0001153533599255,0.0053143971466853,2.3967109547386687,2.042939576732346,no
2401,FGF14,FGFR1,3827.0,gtex,0.778,0.272,0.778,frequency,genecalls,autopsy,1.0,6093.0,MWU_ratio,0.0001602898942748,0.0025378689166849,2.5733009703333543,2.062874285111209,yes
2401,FGF14,FGFR1,3827.0,gtex,0.778,0.272,0.778,frequency,genecalls,hcmdb,1.0,2072.0,MWU_ratio,0.001266020002519,0.0324034923520549,2.42789093044253,2.2200177380251853,yes
2968,MMP7,CD44,6442.0,gtex,0.847,0.424,0.847,frequency,genecalls,autopsy,1.0,6857.0,MWU_ratio,0.0028248458165427,0.0174843561925182,2.818135202363695,2.70320442834172,yes
3013,PRG4,CD44,7317.0,gtex,0.799,0.424,0.799,frequency,genecalls,autopsy,1.0,10030.0,MWU_ratio,3.052888503913722e-07,1.5411139759367062e-05,2.6287476860138903,2.457871201358945,yes
